Capture_22:222,
787.941,536.57
788.258,477.82
788.575,443.54
788.891,414.17
789.208,455.78
789.524,460.68
789.841,519.43
790.157,551.26
790.474,521.88
790.79,468.02
791.106,465.58
791.423,436.2
791.739,477.82
792.055,492.5
792.371,445.99
792.687,507.19
793.003,472.92
793.319,441.1
793.635,482.71
793.95,433.75
794.266,490.06
794.582,414.17
794.897,445.99
795.213,345.62
795.528,404.38
795.844,504.74
796.159,414.17
796.474,375
796.79,433.75
797.105,507.19
797.42,463.13
797.735,409.27
798.05,458.23
798.365,458.23
798.68,431.3
798.995,487.61
799.31,558.6
799.624,450.89
799.939,382.34
800.254,475.37
800.568,514.54
800.883,460.68
801.197,460.68
801.512,450.89
801.826,419.06
802.14,355.42
802.455,441.1
802.769,352.97
803.083,470.47
803.397,539.02
803.711,487.61
804.025,475.37
804.339,401.93
804.653,514.54
804.967,421.51
805.28,367.66
805.594,487.61
805.908,460.68
806.221,438.65
806.535,421.51
806.848,477.82
807.161,455.78
807.475,436.2
807.788,431.3
808.101,485.16
808.414,416.62
808.728,419.06
809.041,335.83
809.354,480.26
809.667,379.9
809.979,375
810.292,401.93
810.605,575.74
810.918,406.82
811.23,431.3
811.543,463.13
811.855,397.03
812.168,436.2
812.48,384.79
812.793,421.51
813.105,394.58
813.417,428.86
813.729,379.9
814.042,345.62
814.354,455.78
814.666,458.23
814.978,421.51
815.289,421.51
815.601,428.86
815.913,360.31
816.225,426.41
816.536,352.97
816.848,392.14
817.16,450.89
817.471,431.3
817.783,409.27
818.094,431.3
818.405,406.82
818.717,431.3
819.028,387.24
819.339,382.34
819.65,524.33
819.961,379.9
820.272,455.78
820.583,419.06
820.894,401.93
821.205,414.17
821.515,470.47
821.826,463.13
822.137,465.58
822.447,480.26
822.758,370.1
823.068,377.45
823.379,370.1
823.689,350.52
823.999,436.2
824.309,431.3
824.62,477.82
824.93,372.55
825.24,455.78
825.55,419.06
825.86,397.03
826.17,397.03
826.479,426.41
826.789,404.38
827.099,377.45
827.409,472.92
827.718,399.48
828.028,458.23
828.337,428.86
828.647,472.92
828.956,370.1
829.265,411.72
829.575,426.41
829.884,343.18
830.193,448.44
830.502,392.14
830.811,352.97
831.12,448.44
831.429,441.1
831.738,436.2
832.046,436.2
832.355,382.34
832.664,494.95
832.972,411.72
833.281,404.38
833.589,379.9
833.898,441.1
834.206,360.31
834.515,416.62
834.823,433.75
835.131,387.24
835.439,377.45
835.747,460.68
836.055,399.48
836.363,448.44
836.671,428.86
836.979,409.27
837.287,397.03
837.595,401.93
837.902,431.3
838.21,421.51
838.517,367.66
838.825,375
839.132,431.3
839.44,411.72
839.747,397.03
840.054,482.71
840.362,394.58
840.669,450.89
840.976,436.2
841.283,453.34
841.59,404.38
841.897,384.79
842.204,372.55
842.51,423.96
842.817,394.58
843.124,355.42
843.43,409.27
843.737,392.14
844.044,384.79
844.35,419.06
844.656,419.06
844.963,406.82
845.269,397.03
845.575,394.58
845.881,450.89
846.187,436.2
846.493,477.82
